구분(4),구분(1)_x,구분(2)_x,구분(3)_x,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,구분(1)_y,구분(2)_y,구분(3)_y,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12
독곶리,도시대기,충남,서산,51,42,56,44,51,27,26,28,26,37,39,35,도시대기,충남,서산,31,53,54,55,78,35,27,26,32,37,34,31
동구동,도시대기,경기,구리,76,60,66,42,50,28,27,29,23,34,47,51,도시대기,경기,구리,39,60,60,54,66,39,26,26,28,39,35,36
동대문,,,,,,,,,,,,,,,,도로변대기,서울,서울,44,82,64,59,67,44,30,29,31,42,37,42
동대문구,도시대기,서울,동대문구,61,54,63,33,42,22,22,21,16*,43**,42,43,,,,,,,,,,,,,,,
동문동,도시대기,충남,서산,51,55,59,42,50,28,25,29,27,38,41,35,도시대기,충남,서산,29,55,57,47,66,31,22,23,30,41,34,31
동상동,도시대기,경남,김해,69,57,54,43,50,31,29,35,26,34,43,38,도시대기,경남,김해,40,57,54,49,64,49,36,31,37,50,51,50
동작구,도시대기,서울,동작구,64,59,68,39,48,29,30,30,29,35,44,46,,,,,,,,,,,,,,,
동작대로,도로변대기,서울,서울,49,63,77,52,68,39,29,25,21,31,38,46,도로변대기,서울,서울,-,-,-,70,87,57,39,38,40,57,52,59
동춘,도시대기,인천,연수구,58,54,64,40,47,28,31,32,29,35,39,40,도시대기,인천,연수구,50,81,78,68,97,49,37,38,44,59,50,49
동탄동,도시대기,경기,화성,64,58,68,40,51,30,34,33,27,33,44,51,도시대기,경기,화성,38,64,56,48,58,40,30,25,28,39,36,38
동홍동,도시대기,제주,서귀포,30,35,40,32,35,26,22,27,18,28,35,27,도시대기,제주,서귀포,38,58,52,53,88,35,28,26,34,44,37,36
두암동,도시대기,광주,북구,55,58,66,44,51,41,29,29,25,34,43,32,도시대기,광주,북구,29,54,51,51,64,42,26,26,29,37,34,31
둔산동,도시대기,대전,서구,59,55,63,36,48,31,26,29,22,31,44,37,도시대기,대전,서구,38,63,62,55,72,43,27,24,27,40,38,37
둔포면,도시대기,충남,아산,82,61*,75,58,68,43,34,33,33,51,60,55,,,,,,,,,,,,,,,
마포구,도시대기,서울,마포구,73,61,77,50,65,36,25,23,16**,43**,41,40,,,,,,,,,,,,,,,
만촌동,도시대기,대구,수성구,60,61*,54,41,46,32,26,25,21,28,41,45,도시대기,대구,수성구,39,65,55,48,64,47,37,32,32,40,45,44
매포읍,도시대기,충북,단양,64,54,60,42,49,39,29,32,29,35,56,47,도시대기,충북,단양,-,-,-,-,-,-,-,-,25,41,43,53
면목동,,,,,,,,,,,,,,,,도시대기,서울,중랑구,46,79,72,60,74,43,28,27,30,41,37,48
명륜동,도시대기,강원,원주,-,69,74,48,56,35,-,-,-,-,-,-,도시대기,강원,원주,62,95,76,67,77,47,21,24,34,61,62,77
명륜동,도시대기,경북,안동,-,46*,48,37,44,29,26,25,19,26,36,39,도시대기,강원,원주,62,95,76,67,77,47,21,24,34,61,62,77
명서동,도시대기,경남,창원,55,54,51,41,49,33,25,28,25,30,39,36,도시대기,경남,창원,35,63,54,48,64,39,29,27,28,44,45,43
명장동,도시대기,부산,동래구,48,48,49,41,50,33,29,33,26,29,35,37,도시대기,부산,동래구,36,58,61,59,82,67,65,55,47,54,49,44
모종동,도시대기,충남,아산,75,68,82,50,59,38,26,27,27,46,56,50,도시대기,충남,아산,31,59,66,52,67,42,23,24,29,47,40,44
모현동,도시대기,전북,익산,74,68,76,50,56,38,29,30,30,45,53,43,도시대기,전북,익산,-,-,-,-,-,-,-,-,-,57,54,51
모현읍,도시대기,경기,용인,-,-,-,-,56,32,27,30,24,35,50,55,,,,,,,,,,,,,,,
무거동,도시대기,울산,남구,44,46,48,40,47,36,31,35,28,23,27,34,도시대기,울산,남구,32,51,59,52,70,47,34,33,30,42,44,39
무안읍,도시대기,전남,무안,-,-,43,37,48,39,31,34,33,43,44,35,,,,,,,,,,,,,,,
무전동,도시대기,경남,통영,48,53,53,42,50,39,30,36,29,32,37,31,,,,,,,,,,,,,,,
무주읍,도시대기,전북,무주,49,49,51,31,35,26,18,18,17,19,27,27,,,,,,,,,,,,,,,
문당동,도시대기,경북,김천,74,75,83,44,38,30,30,25,25,29,39,41,,,,,,,,,,,,,,,
문막읍,도시대기,강원,원주,60,55,57,33,42,28,25,25,17,26,35,38,,,,,,,,,,,,,,,
문수동,도시대기,전남,여수,42,44,38,27,35,26,19,23,20,22,32,23,도시대기,전남,여수,45,51,43,41,64,32,27,31,24,34,30,32
문창동,도시대기,대전,중구,60,58,60,36,45,31,27,29,21,26,40,37,도시대기,대전,중구,41,61,57,50,68,40,24,24,24,35,26,38
문평동,도시대기,대전,대덕구,80,75,78,46,51,32,23,24,23,36,49,46,도시대기,대전,대덕구,48,75,64,56,65,50,31,27,32,47,45,51
문화동,도시대기,충북,청주,75,70,71,43,50,34,25,26,22,32,-,-,도시대기,충북,청주,69,109,89,76,86,69,45,41,42,62,60,65
